"OS_Name","May_RPO_sq_m","August_RPO_sq_m"
"Crab Hole",789491.726056466,75748.1017902645
"Croatan Sound",357916.273383879,26378.4052441465
"Deep Bay",812839.073739788,44443.9516431944
"Gibbs Shoal",1850707.52724887,126062.338097531
"Little Creek",3104620.23663958,213782.746060389
"Middle Bay",146407.53816287,10493.087124861
"Neuse River",1090696.48202848,78802.654958684
"Pea Island",6279643.28670959,374363.638655914
"Raccoon Island",22717432.0706879,940849.002429244
"Swan Island",9840616.75790982,538742.301297165
"West Bay",2162746.28270935,138570.08476903
"West Bluff",1671958.73623226,130272.809075573
