"OS_Name","May_RPO_sq_m","August_RPO_sq_m"
"Crab Hole",236564.493402853,11795.7242673854
"Croatan Sound",240191.089257956,12663.4089620564
"Deep Bay",777574.824389885,36066.9953419793
"Gibbs Shoal",1400777.80768821,63520.6304706066
"Little Creek",2278383.29373332,107966.144030108
"Middle Bay",140892.368713305,7731.35010723012
"Neuse River",655262.822779279,37546.0274320584
"Pea Island",5346933.48909876,187993.189145548
"Raccoon Island",21305240.041227,757750.114838648
"Swan Island",7552378.58461519,334081.181664612
"West Bay",1558525.66983168,80711.5402755098
"West Bluff",864038.462545167,40676.2577983225
