"OS_Name","Aug_Total_RPO","May_Total_RPO"
"Crab Hole",2032914159.79532,21188239322.2917
"Croatan Sound",193681059.041068,2627967924.12705
"Deep Bay",373129464.923641,6824195361.20314
"Gibbs Shoal",2071651581.05994,30413692406.1997
"Little Creek",1600164593.92779,23238093212.8751
"Middle Bay",5782516.86736847,80682076.5769545
"Neuse River",453795613.856192,6280921370.63661
"Pea Island",1990658964.13834,33391672987.1546
"Raccoon Island",3578907900.97262,86415138792.3781
"Swan Island",39092404373.8699,714058221585.489
"West Bay",637606362.377799,9951504268.33486
"West Bluff",743611436.343357,9543723254.13855
