"OS_Name","total_Aug_RPO","total_May_RPO"
"Crab Hole",2006101258.07502,21174471497.0997
"Croatan Sound",187549406.184608,2418183028.3928
"Deep Bay",363820265.609163,6334982331.70028
"Gibbs Shoal",1507051542.69744,24756208022.8643
"Little Creek",1499258200.33914,22365481503.3135
"Middle Bay",5794167.53821266,83787626.960221
"Neuse River",446425497.3179,6229978981.54523
"Pea Island",571615637.085895,10868934638.9783
"Raccoon Island",658130357.737508,16238869124.7799
"Swan Island",39300350015.3273,732638229882.562
"West Bay",631829118.446323,9955949153.96125
"West Bluff",727915855.037955,9619955586.68483
